parameter id,description,values,Midi CC
966,Filter1Cutoff,0.761,
967,Filter1Reso,0.109,
1003,Filter1Attack,0.000,
1004,Filter1Decay,0.036,
1005,Filter1Sustain,0.100,
1006,Filter1Release,0.500,
969,Filter1Amount,0.889,
970,Filter1VeloAmount,0.500,
976,Filter2Cutoff,0.339,
977,Filter2Reso,0.008,
1013,Filter2Attack,0.585,
1014,Filter2Decay,0.316,
1015,Filter2Sustain,0.349,
1016,Filter2Release,0.500,
979,Filter2Amount,0.500,
980,Filter2VeloAmount,0.500,
991,AmpVeloAmount,0.500,
993,AmpAttack,0.543,
994,AmpDecay,0.750,
995,AmpSustain,0.509,
996,AmpRelease,0.772,
1642,DelayDryWet,0.600,
1645,DelayFeedback,0.910,
1643,DelayTimeL,0.250,
1644,DelayTimeR,0.230,
1650,DelaySyncL,6 : 1/8 dotted,
1651,DelaySyncR,6 : 1/8 dotted,
1608,ReverbGain,0.340,
1609,ReverbColor,0.360,
1611,ReverbTime,0.480,
1613,ReverbModDepth,0.200,
2,Osc1FinePitch,0.500,
5,Osc1Vol,0.505,
6,Osc1Pan,0.500,
7,Osc1WavetablePosition,0.000,
9,Osc1WavetableSpectrum,0.500,
16,Osc1WavetableTable,27 : Formant Vocal,
22,Osc1WavetableStepped,3 : 4 Steps,
23,Osc1WaveformShape,3 : Square,
24,Osc1WaveformDesity,0.135,
25,Osc1WaveformSpread,0.196,
26,Osc1WaveformPW,0.167,
32,Osc1WaveformSync,0.037,
43,Osc1ParticlePosition,0.100,
45,Osc1ParticleTravel,0.500,
320,Osc2FinePitch,0.500,
323,Osc2Vol,0.092,
324,Osc2Pan,0.500,
325,Osc2WavetablePosition,0.000,
327,Osc2WavetableSpectrum,0.610,
334,Osc2WavetableTable,8 : Feedback,
340,Osc2WavetableStepped,0 : Smooth,
341,Osc2WaveformShape,1 : Sine,
342,Osc2WaveformDesity,0.000,
343,Osc2WaveformSpread,0.250,
344,Osc2WaveformPW,0.500,
350,Osc2WaveformSync,0.000,
361,Osc2ParticlePosition,0.100,
363,Osc2ParticleTravel,0.500,
638,Osc3FinePitch,0.500,
641,Osc3Vol,0.632,
642,Osc3Pan,0.500,
643,Osc3WavetablePosition,0.000,
645,Osc3WavetableSpectrum,0.500,
652,Osc3WavetableTable,2 : Mallet Syn,
658,Osc3WavetableStepped,0 : Smooth,
659,Osc3WaveformShape,0 : Sawtooth,
660,Osc3WaveformDesity,0.000,
661,Osc3WaveformSpread,0.250,
662,Osc3WaveformPW,0.500,
668,Osc3WaveformSync,0.000,
679,Osc3ParticlePosition,0.101,
681,Osc3ParticleTravel,0.680,
954,RingmodOsc1ToOsc2,0.000,
955,RingmodOsc1ToOsc3,0.000,
959,DigiFormerAmount,0.000,
960,DigiFormerColor,0.000,
961,DigiFormerPan,0.500,
962,DigiFormerLevel,1.000,
1059,Lfo1Speed,0.130,
1066,Lfo1Amount,0.500,
1071,Lfo2Speed,0.250,
1078,Lfo2Amount,0.500,
1083,Lfo3Speed,0.380,
1090,Lfo3Amount,0.500,
1131,KomplexSpeed,0.500,
1138,KomplexAmount,0.500,
1141,KomplexEntropy,0.000,
1586,GlideRate,0.150,
1587,GlideOnOff,0 : Off,
2117,UnisonoCount,0 : Off,
1590,UnisonoDetune,0.200,
1615,ChorusDryWet,0.750,
1617,ChorusSpeed,0.200,
1620,ChorusFeedback,0.500,
1625,PhaserDryWet,0.500,
1626,PhaserDepth,0.300,
1628,PhaserFeedback,0.600,
1635,FlangerDryWet,0.500,
1637,FlangerSpeed,0.300,
1638,FlangerFeedback,0.600,
1672,DriveAmount,0.300,
1673,DriveDryWet,0.500,
1674,DriveGain,0.500,
1023,FreeEnv1Attack,0.010,
1024,FreeEnv1Decay,0.700,
1025,FreeEnv1Sustain,0.100,
1026,FreeEnv1Release,0.500,
1053,FreeEnv1Amount,0.500,
1054,FreeEnv1VeloAmount,0.500,
1033,FreeEnv2Attack,0.010,
1034,FreeEnv2Decay,0.700,
1035,FreeEnv2Sustain,0.100,
1036,FreeEnv2Release,0.500,
1055,FreeEnv2Amount,0.500,
1056,FreeEnv2VeloAmount,0.500,
